checkpoint,perturbation_type,subtype,layer_idx,head_idx,seed,baseline_loss,perturbed_loss,delta,elapsed_sec
512,head,output_zeroing,0,0,-1,6.826264839172364,6.826686267852783,-6.173635074939229e-05,3.0220096111297607
512,head,output_zeroing,0,3,-1,6.826264839172364,6.827186584472656,-0.00013502923223885605,3.0239367485046387
512,head,output_zeroing,0,6,-1,6.826264839172364,6.826401042938232,-1.9952897972392528e-05,3.025742292404175
512,head,output_zeroing,0,9,-1,6.826264839172364,6.829824047088623,-0.0005213990374113494,3.0233163833618164
512,head,output_zeroing,0,12,-1,6.826264839172364,6.827007446289063,-0.00010878674270554237,3.021557331085205
512,head,output_zeroing,0,15,-1,6.826264839172364,6.8269931411743165,-0.00010669114356265472,3.020913600921631
512,head,output_zeroing,1,0,-1,6.826264839172364,6.826072769165039,2.8136911158556977e-05,3.0346622467041016
512,head,output_zeroing,1,3,-1,6.826264839172364,6.826770191192627,-7.403053238766654e-05,3.026663303375244
512,head,output_zeroing,1,6,-1,6.826264839172364,6.82867353439331,-0.00035285698367931945,3.038750410079956
512,head,output_zeroing,1,9,-1,6.826264839172364,6.827360687255859,-0.00016053407087383682,3.042757749557495
512,head,output_zeroing,1,12,-1,6.826264839172364,6.82837516784668,-0.00030914837382314727,3.043102979660034
512,head,output_zeroing,1,15,-1,6.826264839172364,6.826718883514404,-6.651431679520217e-05,3.0448246002197266
512,head,output_zeroing,2,0,-1,6.826264839172364,6.82607141494751,2.8335294544073267e-05,3.0452768802642822
512,head,output_zeroing,2,3,-1,6.826264839172364,6.82725154876709,-0.00014454604647977213,3.0495314598083496
512,head,output_zeroing,2,6,-1,6.826264839172364,6.831455192565918,-0.0007603504282121464,3.048713445663452
512,head,output_zeroing,2,9,-1,6.826264839172364,6.827319526672364,-0.0001545043336068107,3.0500783920288086
512,head,output_zeroing,2,12,-1,6.826264839172364,6.826130275726318,1.971260260417462e-05,3.0512640476226807
512,head,output_zeroing,2,15,-1,6.826264839172364,6.826587371826172,-4.724877534153627e-05,3.050693988800049
512,head,output_zeroing,3,0,-1,6.826264839172364,6.8282539176940915,-0.0002913860754879482,3.0491979122161865
512,head,output_zeroing,3,3,-1,6.826264839172364,6.829599266052246,-0.000488470189546082,3.0526561737060547
512,head,output_zeroing,3,6,-1,6.826264839172364,6.829479713439941,-0.0004709565689758754,3.050532102584839
512,head,output_zeroing,3,9,-1,6.826264839172364,6.840803565979004,-0.0021298216739571016,3.054126501083374
512,head,output_zeroing,3,12,-1,6.826264839172364,6.825888671875,5.510587506143106e-05,3.050522804260254
512,head,output_zeroing,3,15,-1,6.826264839172364,6.82728946685791,-0.00015010078127448845,3.054255962371826
512,head,output_zeroing,4,0,-1,6.826264839172364,6.830715503692627,-0.0006519911877316958,3.0520169734954834
512,head,output_zeroing,4,3,-1,6.826264839172364,6.825995540618896,3.945035239802226e-05,3.0526926517486572
512,head,output_zeroing,4,6,-1,6.826264839172364,6.8255720138549805,0.00010149405768839742,3.051745891571045
512,head,output_zeroing,4,9,-1,6.826264839172364,6.82732515335083,-0.00015532860260293512,3.0548322200775146
512,head,output_zeroing,4,12,-1,6.826264839172364,6.827349643707276,-0.00015891626833564726,3.051072835922241
512,head,output_zeroing,4,15,-1,6.826264839172364,6.825525226593018,0.00010834806395167806,3.0518505573272705
512,head,output_zeroing,5,0,-1,6.826264839172364,6.826079788208008,2.7108670512399925e-05,3.0533359050750732
512,head,output_zeroing,5,3,-1,6.826264839172364,6.825267353057861,0.00014612473116751827,3.053431272506714
512,head,output_zeroing,5,6,-1,6.826264839172364,6.832201042175293,-0.0008696121733901287,3.0576930046081543
512,head,output_zeroing,5,9,-1,6.826264839172364,6.8305503845214846,-0.0006278023853584382,3.0560224056243896
512,head,output_zeroing,5,12,-1,6.826264839172364,6.833011989593506,-0.000988410291734314,3.0536928176879883
512,head,output_zeroing,5,15,-1,6.826264839172364,6.824703845977783,0.0002286745726041332,3.057889699935913
512,head,output_zeroing,6,0,-1,6.826264839172364,6.826551761627197,-4.2032130541862076e-05,3.0581963062286377
512,head,output_zeroing,6,3,-1,6.826264839172364,6.826785354614258,-7.62518674791795e-05,3.052907705307007
512,head,output_zeroing,6,6,-1,6.826264839172364,6.826841220855713,-8.443588066521384e-05,3.055453062057495
512,head,output_zeroing,6,9,-1,6.826264839172364,6.828109092712403,-0.00027017022976543684,3.058971643447876
512,head,output_zeroing,6,12,-1,6.826264839172364,6.826731128692627,-6.830814966149318e-05,3.0565290451049805
512,head,output_zeroing,6,15,-1,6.826264839172364,6.826194400787354,1.031873017962566e-05,3.0525784492492676
512,head,output_zeroing,7,0,-1,6.826264839172364,6.826040897369385,3.280590604890026e-05,3.0556740760803223
512,head,output_zeroing,7,3,-1,6.826264839172364,6.826705093383789,-6.449415922146367e-05,3.0554912090301514
512,head,output_zeroing,7,6,-1,6.826264839172364,6.825906467437744,5.249894972765799e-05,3.0555131435394287
512,head,output_zeroing,7,9,-1,6.826264839172364,6.82692554473877,-9.678873907947852e-05,3.0587403774261475
512,head,output_zeroing,7,12,-1,6.826264839172364,6.826552734375,-4.21746312836461e-05,3.0541815757751465
512,head,output_zeroing,7,15,-1,6.826264839172364,6.825619277954101,9.457019812035386e-05,3.056849956512451
512,head,output_zeroing,8,0,-1,6.826264839172364,6.825819606781006,6.522342772328226e-05,3.0575788021087646
512,head,output_zeroing,8,3,-1,6.826264839172364,6.826076908111572,2.753058447323563e-05,3.059347629547119
512,head,output_zeroing,8,6,-1,6.826264839172364,6.825780754089355,7.091507499539635e-05,3.0596282482147217
512,head,output_zeroing,8,9,-1,6.826264839172364,6.826486644744873,-3.249296324340104e-05,3.057751178741455
512,head,output_zeroing,8,12,-1,6.826264839172364,6.826361408233643,-1.4146691280555711e-05,3.057950019836426
512,head,output_zeroing,8,15,-1,6.826264839172364,6.826412620544434,-2.1648936212119544e-05,3.060959577560425
512,head,output_zeroing,9,0,-1,6.826264839172364,6.826294937133789,-4.40914059657838e-06,3.058220863342285
512,head,output_zeroing,9,3,-1,6.826264839172364,6.82657455444336,-4.537111850958179e-05,3.0597774982452393
512,head,output_zeroing,9,6,-1,6.826264839172364,6.82749906539917,-0.00018080549991611483,3.058729887008667
512,head,output_zeroing,9,9,-1,6.826264839172364,6.825324459075928,0.00013775909938912634,3.0589792728424072
512,head,output_zeroing,9,12,-1,6.826264839172364,6.8270835685729985,-0.00011993812427793686,3.0622920989990234
512,head,output_zeroing,9,15,-1,6.826264839172364,6.826917495727539,-9.560961529502316e-05,3.061838150024414
512,head,output_zeroing,10,0,-1,6.826264839172364,6.825709495544434,8.135395285913097e-05,3.0630388259887695
512,head,output_zeroing,10,3,-1,6.826264839172364,6.827562141418457,-0.0001900456950701073,3.065330982208252
512,head,output_zeroing,10,6,-1,6.826264839172364,6.826021766662597,3.5608420636061554e-05,3.0663578510284424
512,head,output_zeroing,10,9,-1,6.826264839172364,6.826966724395752,-0.00010282127047876282,3.06441068649292
512,head,output_zeroing,10,12,-1,6.826264839172364,6.826932582855225,-9.781977385776364e-05,3.0693838596343994
512,head,output_zeroing,10,15,-1,6.826264839172364,6.826007881164551,3.764254887070059e-05,3.065734386444092
512,head,output_zeroing,11,0,-1,6.826264839172364,6.82679500579834,-7.766569836759664e-05,3.0672121047973633
512,head,output_zeroing,11,3,-1,6.826264839172364,6.826577377319336,-4.5784650073773085e-05,3.066939353942871
512,head,output_zeroing,11,6,-1,6.826264839172364,6.8263743019104,-1.6035524641282666e-05,3.0715320110321045
512,head,output_zeroing,11,9,-1,6.826264839172364,6.8265527153015135,-4.2171837151387925e-05,3.067737579345703
