,PR_schieb_d2.5,PR_bp_E12.5,pert_dixit,pert_replogle,category
AMPK,0.3037668595542743,0.6580163193936982,0.0030773536656425,0.01161,growth_proliferation
AR,0.10638619696352752,0.28460596672281074,0.0018719267231226,0.0,nuclear_receptor
AhR,0.3492327181830394,0.1917548676641819,0.0015082026902864,0.0,nuclear_receptor
Autophagy,0.7405293015801199,0.8726879108935395,0.0046998073076137,0.0276,stress_infrastructure
BMP,0.6226920495313232,0.7864884832568286,0.003727167005795,0.01834,dev_signaling
Calcium,0.9106351505374387,0.9482375447488044,0.0029777721961658,0.03893,second_messenger
Cell Cycle,0.9136485350316652,0.9320930799433865,0.0065311999826553,0.02906,growth_proliferation
Circadian,0.22110490264846008,0.3457751548704302,0.0014672124217059,0.0063,other
ER,0.7971398833655512,0.7495733172446601,0.0007823306562892,0.0,nuclear_receptor
ERK/MAPK,0.5542371390820315,0.8181862791280891,0.0015847587592943,0.02581,growth_proliferation
FXR,0.0002943128941681243,0.19959911836401084,0.0002625232943615,0.0,nuclear_receptor
GR,0.2990715602882894,0.5978807516591201,0.0022666051256598,0.01248,nuclear_receptor
HIF,0.9128162797251252,0.8846279138250498,0.0022952361385927,0.02721,sensors
HSF1,0.669278527442771,0.9305438733408022,0.0036737016922769,0.05144,stress_infrastructure
Hedgehog,0.24898549787456853,0.5037454466012407,0.0012477004155572,0.0,dev_signaling
Hippo,0.587817592347086,0.5786534650743906,0.0020886307604044,0.01584,dev_signaling
Insulin/FOXO,0.43699308324805614,0.7605793964019124,0.0008869226778276,0.01059,sensors
JAK-STAT,0.4453574166372939,0.4328783567256932,0.0035482783238287,0.02638,immune_cytokine
LXR,0.24997780200340872,0.4866715248469705,0.003004668545245,0.02354,nuclear_receptor
MR,0.11300821773394436,0.4871372474955325,0.0018835474521943,0.00732,nuclear_receptor
NF-κB,0.4896272164070499,0.5679640788803462,0.0011053831777687,0.02225,immune_cytokine
NFAT,0.4075934804053258,0.5530274769439606,0.0014360863364776,0.01335,second_messenger
NRF2,0.6103034173494463,0.7601494240416201,0.0043724680085311,0.02937,stress_infrastructure
Notch,0.3438596215456799,0.7872153984421875,0.0025965573566134,0.01651,dev_signaling
PI3K/PTEN,0.5796396648401607,0.6936654801597473,0.001785113162027,0.01525,growth_proliferation
PPARα,0.16063533365119106,0.2079355722834578,0.0015296712854023,0.0047,nuclear_receptor
PPARγ,0.13012474699386412,0.040101792669315864,0.0005055308688082,0.0,nuclear_receptor
PR,0.11591776491402454,0.1549752519302198,0.0005633471003155,0.0,nuclear_receptor
PXR/CAR,,0.003093496243150651,8.464040886721942e-05,0.00183,nuclear_receptor
RAR,0.37016904937813044,0.4358940808773142,0.0022699454221564,0.0,nuclear_receptor
SREBP,0.4452215922434163,0.5700531574241124,0.004604370897537,0.03208,other
TGF-β,0.25165410592227255,0.5762409746669858,0.0027459960837386,0.01364,dev_signaling
TR,0.09580643282568801,0.6173424641882677,0.0020353588546453,0.00812,nuclear_receptor
Type I IFN,0.11728601552909355,0.3209795873035273,0.0027473877257316,0.02725,immune_cytokine
UPR-ATF6,0.8368773376167888,0.936220425763419,0.0083184115370256,0.05499,stress_infrastructure
UPR-IRE1,0.6238078673529776,0.7570945510865892,0.0022957353711558,0.02327,stress_infrastructure
UPR-PERK,0.6497347138181913,0.6626268846353077,0.0049997754875663,0.06658,stress_infrastructure
VDR,0.002103083905859372,0.014407917700820104,0.0005802731128027,0.0,nuclear_receptor
Wnt,0.5700512377513741,0.8974578061911079,0.002129475030702,0.01765,dev_signaling
cAMP/CREB,0.3559647185316051,0.6856106143152967,0.0040139209857593,0.01901,second_messenger
cGAS-STING,0.21581779668889003,0.416189970593127,0.003841999786331,0.0,sensors
mTOR,0.9148713602770103,0.8618325386156042,0.0046247122832891,0.02383,growth_proliferation
p53,0.9335959516915696,0.8978070551135484,0.0040163165630827,0.01806,stress_infrastructure
