N_HVG,K_NN,N_PCS,rho,p,n_day_2_3,n_day18,sweep_param
2000,10,50,-0.3295698025152298,0.0,20492,7436,default
500,10,50,-0.04785272079036448,7.199502363570677e-12,20492,7436,N_HVG
1000,10,50,-0.025424066744867652,0.0002728198778764386,20492,7436,N_HVG
2000,10,50,-0.3295698025152298,0.0,20492,7436,N_HVG
4000,10,50,-0.20893813364824884,6.629878866024763e-201,20492,7436,N_HVG
2000,5,50,-0.3682885671147601,0.0,20492,7436,K_NN
2000,10,50,-0.3295698025152298,0.0,20492,7436,K_NN
2000,20,50,-0.2447790457264098,2.7912822524141064e-277,20492,7436,K_NN
2000,50,50,-0.06750626442124887,3.8892565769988994e-22,20492,7436,K_NN
2000,10,20,-0.24543530665514585,8.351388515549362e-279,20492,7436,N_PCS
2000,10,50,-0.3295698025152298,0.0,20492,7436,N_PCS
2000,10,100,-0.3394552685801949,0.0,20492,7436,N_PCS
