layer_idx,head_idx,OV_PR,QK_PR,OV_entropy,QK_entropy,OV_PR_143k,QK_PR_143k,OV_en_143k,QK_en_143k,class,abs_delta_this_ckpt
0,0,35.00597672393768,33.371012783858966,3.8278326988220215,3.765357732772827,36.8276414296331,41.90197342364497,3.8994202613830566,3.8684840202331543,emergent,5.12694791441315e-05
0,3,30.457757101682528,30.15475036926582,3.7824413776397705,3.720470428466797,28.74599324667674,37.96769766812886,3.72481369972229,3.854822635650635,never,0.0001388206657713
0,6,36.085268561682824,34.87448385153033,3.871443033218384,3.7836191654205322,24.808688469558668,41.21122485385082,3.7468490600585938,3.886765480041504,emergent,0.0002818089891671
0,9,34.4916614988057,39.75778121593744,3.8020730018615723,3.884592056274414,44.53166456669373,44.53250703692309,3.9732275009155273,3.901768207550049,born,0.0012000089695767
0,12,31.649761477467475,27.958301406186347,3.805232286453247,3.684047222137451,30.816982594413822,39.45967674477199,3.7955594062805176,3.844992160797119,growing,0.0008373437773131
0,15,40.384142119382474,35.47650052331215,3.9232912063598633,3.8015666007995605,31.766199052773057,43.38034578480122,3.843146562576294,3.8993825912475586,growing,0.000788376837877
1,0,29.748386702312057,25.49670593438205,3.747009515762329,3.644901752471924,27.755716245431177,29.34360569692436,3.797027349472046,3.7442915439605713,never,5.61692107391901e-05
1,3,20.16346207606659,23.174644803152294,3.493943691253662,3.562365770339966,23.44470350065664,22.439292397136203,3.617819786071778,3.5303237438201904,emergent,0.0018286114228095
1,6,42.69015380510526,47.83458374113329,3.9505581855773926,3.9673709869384766,47.014640591698914,49.22351995746093,4.0190839767456055,3.968184232711792,growing,0.0028908659422317
1,9,37.020467234608994,31.642256265764846,3.8836050033569336,3.80349063873291,41.183376460873845,38.31691601256373,3.952137708663941,3.892960548400879,growing,0.0023707410556371
1,12,46.05850996241747,31.109920387717455,3.990135908126831,3.7871594429016113,49.48609551626283,47.35692581991333,4.039731502532959,3.955143928527832,growing,0.0006441461150872
1,15,44.70735442262696,39.36150737709697,3.980553150177002,3.894564390182495,52.00728235754075,49.830175943878025,4.058813095092773,3.9867019653320312,emergent,0.0005727157440672
2,0,32.3918032656731,28.73940447568672,3.8430581092834473,3.733150005340576,38.09614903299784,44.46168390435441,3.9417757987976074,3.952379703521729,emergent,0.0002600928198105
2,3,24.631368469090678,37.338315834311274,3.773102283477783,3.8598108291625977,36.95135920678646,44.78819209565927,3.957979202270508,3.938998699188232,growing,0.0007076542914391
2,6,17.16230486781512,19.203309131269233,3.4676923751831055,3.510512113571167,23.820267111498197,21.872987419543744,3.632915496826172,3.598632574081421,never,9.014837851418018e-05
2,9,10.119595973964179,12.951526871873781,3.2766690254211426,3.3362984657287598,25.96287417089977,37.61042526270753,3.8004302978515625,3.838757991790771,growing,0.0021214318980473
2,12,22.643135322746158,23.371375114680813,3.6235318183898926,3.5773463249206543,41.08741513693464,43.22172742710655,3.958606719970703,3.9037022590637207,never,7.577725007292725e-05
2,15,25.398472254768688,17.454208228579237,3.700944423675537,3.4389729499816895,44.71842966606419,42.92641373252415,3.991675853729248,3.912075996398926,never,0.0005121692777618
3,0,28.868240641204924,37.15250470913423,3.738077163696289,3.8774452209472656,31.49606111893629,47.00553177986746,3.8089053630828857,3.958197116851806,growing,0.0051684361562816
3,3,38.75792992328028,39.963209935365406,3.8728199005126953,3.8686766624450684,47.605073928284355,46.89215381262175,4.003907203674316,3.936632871627808,growing,0.0019580001812019
3,6,45.24224835245631,42.87262472296188,3.981095314025879,3.927995443344116,50.65086549631962,50.63547113187336,4.047436714172363,4.009712219238281,growing,0.0010742380539182
3,9,38.58130806816153,39.00380676813728,3.8858094215393066,3.8821494579315186,47.19050936404553,48.156598739349256,4.00972318649292,3.981098175048828,born,0.0028161214936108
3,12,27.143066704219688,33.36569325274484,3.6782941818237305,3.8179268836975098,32.33324059302313,39.42283845533332,3.807895421981811,3.898473501205444,emergent,0.0007533557556958
3,15,31.092513214847852,27.871670817212763,3.7578911781311035,3.7108469009399414,30.952149360197556,34.66511761680523,3.815130710601806,3.8316922187805176,never,0.0010397060336011
4,0,44.27116539892951,43.08717569615269,3.9671781063079834,3.925100326538086,49.02594469208853,49.7756348957491,4.035274982452393,3.9897594451904297,born,0.0015345606987831
4,3,31.33318973189288,27.570444080701712,3.8807101249694824,3.666069507598877,54.55284681499422,49.33624227972927,4.086357116699219,3.978477478027344,emergent,0.0009596153186398
4,6,17.5381857925851,21.88486468480036,3.5076842308044434,3.496950149536133,19.456877777694967,40.52882151636805,3.706719398498535,3.88387393951416,growing,5.074396546408351e-05
4,9,31.053108486545284,35.63962266690753,3.790273427963257,3.8612537384033203,33.02804714958092,46.24613281358912,3.8374834060668945,3.971678733825683,growing,0.0061442057046934
4,12,37.765233181699465,26.673903313547946,3.892699956893921,3.711836814880371,45.494206854722485,41.07558869560488,4.006809234619141,3.918316125869751,never,8.478084861446408e-05
4,15,39.85386448582344,40.673008698771405,3.9067208766937256,3.9314322471618652,54.675562380068406,50.77244871267036,4.082474708557129,4.021332740783691,growing,0.0007953664735868
5,0,39.65816480923724,39.505926226025586,3.941690444946289,3.8837404251098633,48.8843068486296,45.77681505715684,4.0288987159729,3.963573455810547,emergent,0.0003981449597954
5,3,35.9249868903222,28.012830806103263,3.829474687576294,3.67767596244812,46.78684586126851,36.21725707849592,3.9931304454803462,3.8324978351593018,growing,0.0002967815725717
5,6,39.4941088840855,27.915900825868118,3.9357447624206543,3.7316360473632812,53.233902318530006,43.536797621086606,4.065018653869629,3.948191165924072,born,0.0002984310172438
5,9,42.15830020869342,33.133982543225294,3.946885824203491,3.814754009246826,50.640978100938746,45.06917862212529,4.0435075759887695,3.9464383125305176,born,0.0003681238517032
5,12,41.35350400376033,37.20971207707583,3.9084067344665527,3.8698034286499023,46.232323964693045,45.02298830330211,3.9867000579833984,3.9568333625793457,born,0.0035627913787299
5,15,43.19452803402766,42.018463246927446,3.9561927318573,3.9223639965057373,48.90960289134051,49.031850724645416,4.026159763336182,3.9941346645355225,growing,0.0015312162446691
6,0,34.04888164356059,25.21209063060524,3.824369430541992,3.6278395652770996,45.25861153703217,44.39687524030969,3.979756355285645,3.933713912963867,emergent,2.9486481458219526e-05
6,3,15.223615146830383,39.27578436485194,3.316392421722412,3.8209047317504883,31.098234933965784,39.60485634658504,3.813425540924072,3.826512336730957,emergent,0.0023388943190957
6,6,37.415655638427204,33.91068661431929,3.8856070041656494,3.8093347549438477,48.569882546384065,48.3793678154481,4.025908470153809,3.9835093021392822,never,0.0002740386770657
6,9,38.92246327403895,42.68113081303222,3.8979976177215576,3.9185500144958496,50.521796361846334,49.18795627210631,4.040192604064941,3.998123407363891,growing,0.0004635486305771
6,12,31.521517195272867,32.85122627672838,3.812875747680664,3.7549939155578613,50.64739844431934,50.03742376672806,4.050441741943359,4.001748085021973,never,0.0001181798249855
6,15,43.07257599272191,36.558566813202795,3.952925205230713,3.844350576400757,50.56081825550355,47.938515689011886,4.039327144622803,3.984018325805664,emergent,0.0013922771104958
7,0,43.74819348201841,45.5379250440333,3.94779634475708,3.962547779083252,50.33727871280914,51.27600565112693,4.034781455993652,4.026381492614746,emergent,0.0006917582620303
7,3,39.377939098322905,40.90002600776262,3.9087905883789062,3.908350944519043,49.822269326309815,49.973606801664125,4.030043601989746,4.000582695007324,emergent,0.0001344069583892
7,6,35.41487108002327,41.05310329211796,3.8649027347564697,3.901987314224243,46.48847241388489,48.10241853767997,4.006173133850098,3.97350549697876,never,0.0004644720765816
7,9,36.54376054993658,30.51589152830977,3.8517603874206543,3.7714438438415527,45.29628445771908,41.80072620492727,3.980653762817383,3.928821086883545,emergent,0.0013669339854513
