model,checkpoint,layer_idx,head_idx,class,OV_PR,QK_PR,OV_entropy,QK_entropy,abs_delta_this_ckpt
410M,0,0,0,emergent,56.997489344218025,56.52431574957939,4.098033905029297,4.0937910079956055,
410M,0,0,3,never,56.936787729910456,57.01798815700408,4.09729528427124,4.098470211029053,
410M,0,0,6,emergent,56.92531606575711,57.108478561581634,4.097064971923828,4.099272727966309,
410M,0,0,9,born,56.994081766097665,56.94532257223465,4.097861289978027,4.097597599029541,
410M,0,0,12,growing,56.96645998626732,57.00537288451095,4.0975799560546875,4.098221302032471,
410M,0,0,15,growing,56.94531250543027,56.73399945318722,4.097817897796631,4.095588684082031,
410M,0,1,0,never,56.781019084408676,56.43496559112181,4.0963544845581055,4.093106269836426,
410M,0,1,3,emergent,57.09375799851707,56.81087372726575,4.099377632141113,4.095853805541992,
410M,0,1,6,growing,56.89391613886438,56.75362099411854,4.097072124481201,4.095850467681885,
410M,0,1,9,growing,56.73864003057605,56.96189223671637,4.095669269561768,4.097931385040283,
410M,0,1,12,growing,56.85932554328503,57.03869952294932,4.096506595611572,4.098432540893555,
410M,0,1,15,emergent,56.83416683992541,56.75101362840767,4.09669303894043,4.0957818031311035,
410M,0,2,0,emergent,56.56893682519088,56.510452756495845,4.094169616699219,4.093416213989258,
410M,0,2,3,growing,56.51533789205773,56.83483707327196,4.0936503410339355,4.096256256103516,
410M,0,2,6,never,56.78031211361826,57.08979843771276,4.095677375793457,4.098989009857178,
410M,0,2,9,growing,56.683178262818096,56.602172357220134,4.094994068145752,4.094605445861816,
410M,0,2,12,never,56.78737091446858,57.11516426631791,4.096043586730957,4.098686218261719,
410M,0,2,15,never,56.92625893324622,56.99565971781443,4.097393989562988,4.097891807556152,
410M,0,3,0,growing,56.436144891874065,56.72428929024029,4.093152046203613,4.09580135345459,
410M,0,3,3,growing,57.15814354848252,56.89283524690819,4.099367141723633,4.096977233886719,
410M,0,3,6,growing,56.51986580063504,56.81010732442641,4.093526363372803,4.096128463745117,
410M,0,3,9,born,57.267554675107846,57.295353934729555,4.1002068519592285,4.100834846496582,
410M,0,3,12,emergent,56.81609884866167,56.761832348281196,4.096150875091553,4.09614372253418,
410M,0,3,15,never,56.663619606597614,56.6247227107713,4.095175743103027,4.094575881958008,
410M,0,4,0,born,56.819961515387156,57.015789565943905,4.096643447875977,4.098167419433594,
410M,0,4,3,emergent,56.784407080031464,56.51437703643013,4.096011161804199,4.093250751495361,
410M,0,4,6,growing,56.800742447048734,56.54585537067685,4.096025466918945,4.093687057495117,
410M,0,4,9,growing,56.81326557242,56.74663587485951,4.0967864990234375,4.095775127410889,
410M,0,4,12,never,56.88621126284684,57.03922464288397,4.096402168273926,4.098484039306641,
410M,0,4,15,growing,57.05007466691711,56.789832163494964,4.09827995300293,4.096212863922119,
410M,0,5,0,emergent,56.32699648896819,56.93659390634862,4.091557502746582,4.097498416900635,
410M,0,5,3,growing,56.66166831234516,56.987598241269914,4.094844341278076,4.097925662994385,
410M,0,5,6,born,56.70827331586203,56.49165643038532,4.095577239990234,4.093315124511719,
410M,0,5,9,born,56.64040610676175,56.93021489058824,4.094441890716553,4.0975165367126465,
410M,0,5,12,born,56.69935577083962,56.685073029223645,4.094820976257324,4.095053672790527,
410M,0,5,15,growing,56.75213384370056,56.8543540759088,4.096228122711182,4.097029209136963,
410M,0,6,0,emergent,56.81871663445618,56.8209631046288,4.0963544845581055,4.096244812011719,
410M,0,6,3,emergent,56.93920105584697,57.14897372078782,4.097125053405762,4.099048614501953,
410M,0,6,6,never,56.615405086880926,56.55537770507692,4.0948638916015625,4.0939788818359375,
410M,0,6,9,growing,56.68303250885198,56.53672104808754,4.095320701599121,4.093784332275391,
410M,0,6,12,never,56.8867024562514,57.04986740645449,4.09684944152832,4.098843574523926,
410M,0,6,15,emergent,56.559197369443616,56.60810826601819,4.094027042388916,4.094926834106445,
410M,0,7,0,emergent,56.54014147853168,56.80071193002053,4.093376159667969,4.096255302429199,
410M,0,7,3,emergent,56.75011604012749,56.62624922234036,4.095542907714844,4.094455718994141,
410M,0,7,6,never,56.78917053654062,56.93551754476229,4.096149444580078,4.097338676452637,
410M,0,7,9,emergent,57.17294790051105,57.33338008448159,4.09971809387207,4.101504325866699,
410M,0,7,12,emergent,56.39212162616049,56.95415953322528,4.092276573181152,4.097469806671143,
410M,0,7,15,never,56.108813506172474,56.53467304324965,4.090014457702637,4.094022750854492,
410M,0,8,0,emergent,57.06341611307884,56.459981008377596,4.098499298095703,4.092989444732666,
410M,0,8,3,emergent,57.06245346164565,56.87341101677863,4.098813056945801,4.096789360046387,
410M,0,8,6,emergent,56.863434119546625,56.691858495707514,4.0968098640441895,4.095794677734375,
410M,0,8,9,emergent,56.47339914604806,56.63599256331659,4.093100070953369,4.094782829284668,
410M,0,8,12,emergent,57.0980395426265,56.97098929005009,4.099003791809082,4.098118782043457,
410M,0,8,15,emergent,56.59690312928377,56.88449604349813,4.094342231750488,4.097262382507324,
410M,0,9,0,emergent,56.67078141044339,56.705307388364425,4.095227241516113,4.095610618591309,
410M,0,9,3,emergent,56.66227411450613,57.03920801615147,4.095163345336914,4.098337650299072,
410M,0,9,6,growing,56.246848206692015,56.8254087574617,4.0908660888671875,4.0963897705078125,
410M,0,9,9,growing,56.7499136827955,56.98019075098317,4.095409393310547,4.098018169403076,
410M,0,9,12,growing,56.64510572569871,56.405296358132816,4.094701766967773,4.0929179191589355,
410M,0,9,15,emergent,56.80265030877309,57.01807390917364,4.096316337585449,4.098206520080566,
410M,0,10,0,never,56.60444776187003,56.908814012504415,4.094172477722168,4.096829891204834,
410M,0,10,3,growing,56.74675123691024,56.5064398663208,4.095383644104004,4.093338966369629,
410M,0,10,6,emergent,56.71792695966859,56.92877265344743,4.095205307006836,4.096989631652832,
410M,0,10,9,never,56.561637909807246,56.90485556869315,4.093415260314941,4.097066879272461,
410M,0,10,12,emergent,56.85659981496516,56.942349792241764,4.095982074737549,4.097393989562988,
410M,0,10,15,emergent,56.65435007007438,56.65391862444568,4.094792366027832,4.094996452331543,
410M,0,11,0,emergent,57.35031900917744,56.905742067390925,4.101044654846191,4.097001552581787,
410M,0,11,3,emergent,56.88731194644407,56.82781660915311,4.097399711608887,4.09687614440918,
410M,0,11,6,never,57.19094479610804,57.00647984601677,4.099490642547607,4.097691535949707,
410M,0,11,9,emergent,57.03929533454644,56.72080461559406,4.0983757972717285,4.095287322998047,
410M,0,11,12,emergent,56.5821119665609,56.53944972148957,4.093411922454834,4.093913555145264,
410M,0,11,15,emergent,57.00305808688658,56.94246586695915,4.098015308380127,4.09755802154541,
410M,0,12,0,emergent,56.8667299635603,56.91531268748172,4.0969133377075195,4.097226142883301,
410M,0,12,3,never,56.78994585924869,56.86272150518169,4.096299171447754,4.097016334533691,
410M,0,12,6,emergent,57.05935615514688,56.8089090091381,4.0984907150268555,4.096179962158203,
410M,0,12,9,emergent,56.93704376883154,56.95360464990551,4.0969767570495605,4.09739351272583,
410M,0,12,12,emergent,56.45699516984304,56.8177863368286,4.092329502105713,4.096808433532715,
410M,0,12,15,emergent,56.51848793381051,57.246529121378856,4.0934553146362305,4.100481986999512,
410M,0,13,0,emergent,57.00188751141981,56.59719483920868,4.098243236541748,4.094371795654297,
410M,0,13,3,emergent,56.88268234095245,56.79953486838848,4.096742630004883,4.096323013305664,
410M,0,13,6,growing,56.752803567351314,56.70631193372366,4.095715522766113,4.09517765045166,
410M,0,13,9,never,56.57942304742193,56.68720493311734,4.094252586364746,4.095239639282227,
410M,0,13,12,growing,56.735975217601855,56.686580882080634,4.0956902503967285,4.094976425170898,
410M,0,13,15,emergent,56.67165897000506,56.72703692813123,4.095006942749023,4.095476150512695,
410M,0,14,0,never,56.847616737036475,56.84573899341964,4.096663951873779,4.096546173095703,
410M,0,14,3,never,57.058020801095005,56.679691175746605,4.098312854766846,4.094925880432129,
410M,0,14,6,never,56.55826526766242,56.5471191033596,4.0941667556762695,4.09342098236084,
410M,0,14,9,emergent,56.44579385222673,56.7629615631891,4.0921454429626465,4.095630645751953,
410M,0,14,12,growing,56.94218943434746,56.879797639437626,4.098160743713379,4.097369194030762,
410M,0,14,15,growing,56.77243172672052,56.98190929712211,4.095471382141113,4.098107814788818,
410M,0,15,0,emergent,57.06263319633538,56.607171133129626,4.098660469055176,4.09488582611084,
410M,0,15,3,emergent,56.7988283660565,56.891504762751964,4.095834255218506,4.097565650939941,
410M,0,15,6,emergent,56.7271270771227,56.906258488040486,4.095670700073242,4.097156524658203,
410M,0,15,9,emergent,57.21499790394612,56.390581593432195,4.100566864013672,4.092441558837891,
410M,0,15,12,never,56.75381172518928,56.6022496786997,4.0957746505737305,4.095107555389404,
410M,0,15,15,never,56.823785239838145,57.00379660742677,4.096346378326416,4.0984907150268555,
410M,0,16,0,emergent,56.45642557558255,56.797628576316576,4.093076229095459,4.095612049102783,
410M,0,16,3,emergent,56.78594753784112,56.84419364487768,4.0958733558654785,4.096351623535156,
410M,0,16,6,emergent,56.78991296908632,56.52643546591443,4.096214771270752,4.09389066696167,
410M,0,16,9,never,56.995100143780725,56.71828441332963,4.0977373123168945,4.0952959060668945,
410M,0,16,12,emergent,56.75664786020823,56.678393617118914,4.096086502075195,4.095388889312744,
410M,0,16,15,growing,56.73685141527573,56.56096818405406,4.095869064331055,4.094362735748291,
410M,0,17,0,growing,56.55569098121206,56.81276786087618,4.094358444213867,4.095826625823975,
410M,0,17,3,never,57.17635361952974,56.62402823881818,4.099449634552002,4.094241142272949,
410M,0,17,6,emergent,56.536238270186224,56.694955141143204,4.09346342086792,4.095279216766357,
410M,0,17,9,never,56.494210755343786,56.95710971675952,4.093377113342285,4.098191261291504,
410M,0,17,12,never,56.82943882061512,56.81865654806459,4.0966949462890625,4.096747875213623,
410M,0,17,15,emergent,56.73208137671402,56.38075622540002,4.095946311950684,4.09208869934082,
410M,0,18,0,emergent,56.8978384324836,56.6085531439712,4.096778869628906,4.094503402709961,
410M,0,18,3,never,56.64086756455719,56.69593898723036,4.094646453857422,4.095053672790527,
410M,0,18,6,emergent,56.92823621124821,56.75715645756778,4.096977710723877,4.0958251953125,
410M,0,18,9,never,56.80331904692002,56.8681104078699,4.096371173858643,4.097012996673584,
410M,0,18,12,growing,56.96437147691124,56.666364797562665,4.097884178161621,4.095002174377441,
410M,0,18,15,growing,56.72993571176442,56.72681873613699,4.0952959060668945,4.09507942199707,
410M,0,19,0,never,56.815155584584716,56.51202669384817,4.096015453338623,4.093714714050293,
410M,0,19,3,growing,56.83145479025945,57.045959120760934,4.096471309661865,4.098277568817139,
