model,crit,class,n,nu_MoM,delta_aic_t_minus_n
410M,0.0002,never,32,inf,-11.05177299601661
410M,0.0002,born,18,19.116849988788957,-1.6588433437692913
410M,0.0002,emergent,36,4.194681251594493,193.74433233564793
410M,0.0002,growing,58,4.149931532679801,104.56525102085152
410M,0.0003,never,39,16.786725872185,-5.7352961714931325
410M,0.0003,born,13,15.373520835542195,-0.472699971125607
410M,0.0003,emergent,46,4.147241844135389,245.31770202264727
410M,0.0003,growing,46,4.198670133119155,73.11364218409943
410M,0.0005,never,49,inf,-10.252709238459374
410M,0.0005,born,6,16.753768117865363,-0.655166797844835
410M,0.0005,emergent,56,4.118503399844491,293.12295701810774
410M,0.0005,growing,33,4.296470183650102,45.897090817117316
410M,0.0007,never,58,inf,-12.549343098161103
410M,0.0007,born,3,,
410M,0.0007,emergent,59,4.118498196242608,284.7579032298546
410M,0.0007,growing,24,13.95074119847344,-1.5243633403477475
410M,0.001,never,71,inf,-16.91067370280723
410M,0.001,born,1,,
410M,0.001,emergent,57,4.122989275076213,264.8818984231689
410M,0.001,growing,15,68.15727945690764,-2.0755548020397327
160M,0.0002,never,8,inf,-4.8642477156956545
160M,0.0002,born,85,4.1114989381549645,144.48269414784698
160M,0.0002,emergent,13,5.727129625248788,3.758290021049561
160M,0.0002,growing,38,5.004540727881636,13.958674983505887
160M,0.0003,never,10,inf,-5.199773559727703
160M,0.0003,born,69,4.135003005478835,119.65413769775387
160M,0.0003,emergent,21,7.1918222478161535,2.827320751417517
160M,0.0003,growing,44,5.186384324492467,12.29331320780824
160M,0.0005,never,14,inf,-5.544162050227271
160M,0.0005,born,40,4.195018251192581,85.36282900663218
160M,0.0005,emergent,28,6.111549622733167,4.584728614443151
160M,0.0005,growing,62,5.9024117946272145,27.16448151097262
160M,0.0007,never,24,inf,-8.906984624084771
160M,0.0007,born,31,4.249490704641096,74.07295029383627
160M,0.0007,emergent,37,4.562384815444227,24.107872542200937
160M,0.0007,growing,52,6.623474616367613,13.72141068742917
160M,0.001,never,34,inf,-9.807309773351108
160M,0.001,born,20,4.420766938401874,49.53525257519033
160M,0.001,emergent,39,5.064890127939741,15.328685136577633
160M,0.001,growing,51,5.8942122201526885,20.046063079997055
